==================================================================================================================
   ID      SALE PRICE      LOT AREA     STREET     OVERALL      OVERALL      KITCHEN      YEAR      NEIGHBORHOOD
  1087       83500          1974         Pave         4            5           TA         1973         MeadowV     
  1036       84000          11500        Pave         4            3           TA         1957         Edwards     
  126        84500          6780         Pave         6            8           TA         1935         IDOTRR      
  650        84500          1936         Pave         4            6           TA         1970         MeadowV     
  1454       84500          17217        Pave         5            5           TA         2006         Mitchel     
  1050       84900          11100        Pave         4            7           Gd         1946         Edwards     
  345        85000          2592         Pave         5            3           TA         1976         MeadowV     
  639        85000          8777         Pave         5            7           TA         1910         Edwards     
  1014       85000          7200         Pave         5            4           TA         1910         OldTown     
  431        85400          1680         Pave         6            5           TA         1971         BrDale      
  977        85500          5900         Pave         4            7           Fa         1923         BrkSide     
  490        86000          1526         Pave         4            8           Gd         1970         MeadowV     
  529        86000          9098         Pave         4            7           TA         1920         Edwards     
  1002       86000          5400         Pave         5            6           Ex         1920         OldTown     
  128        87000          4388         Pave         5            7           TA         1930         OldTown     
  326        87000          5000         Pave         5            6           TA         1941         IDOTRR      
  677        87000          9600         Pave         4            2           TA         1900         OldTown     
  1023       87000          9439         Pave         5            5           TA         1930         OldTown     
  343        87500          8544         Pave         3            4           TA         1949         NAmes       
  288        88000          8125         Pave         4            4           TA         1971         NAmes       
  656        88000          1680         Pave         6            5           TA         1971         BrDale      
  913        88000          6120         Pave         5            7           TA         1925         BrkSide     
  1008       88000          2217         Pave         4            4           TA         1970         MeadowV     
  697        89000          6000         Pave         5            7           TA         1921         BrkSide     
  480        89471          5925         Pave         4            7           TA         1937         OldTown     
  236        89500          1680         Pave         6            3           TA         1971         BrDale      
  308        89500          7920         Pave         6            7           Fa         1920         IDOTRR      
  1063       90000          13600        Pave         5            5           TA         1900         OldTown     
  1413       90000          7200         Pave         4            5           TA         1949         NAmes       
  439        90350          4280         Pave         5            6           Gd         1913         Crawfor     
  999        91000          9786         Pave         3            4           TA         1922         IDOTRR      
  1377       91000          6292         Pave         6            5           TA         1930         SWISU       
  495        91300          5784         Pave         5            8           TA         1938         OldTown     
  1073       91500          7585         Pave         5            3           TA         1948         Edwards     
  1220       91500          1680         Pave         6            5           TA         1971         BrDale      
  1450       92000          1533         Pave         5            7           Ex         1970         MeadowV     
  1091       92900          8544         Pave         3            4           TA         1950         NAmes       
  638        93000          6000         Pave         5            4           Gd         1954         OldTown     
  822        93000          6000         Pave         4            4           TA         1953         OldTown     
  1180       93000          8335         Pave         5            5           TA         1954         Edwards     
  737        93500          8544         Pave         3            4           TA         1950         NAmes       
  1132       93500          10712        Pave         5            5           TA         1991         Mitchel     
  1138       94000          6342         Pave         5            8           TA         1875         Sawyer      
  233        94500          1680         Pave         6            5           TA         1972         BrDale      
  353        95000          9084         Pave         5            6           TA         1941         Edwards     
  1187       95000          10615        Pave         3            5           TA         1900         OldTown     
  515        96500          10594        Pave         5            5           TA         1926         Crawfor     
  751        96500          8800         Pave         4            7           TA         1910         OldTown     
  224        97000          10500        Pave         4            6           TA         1971         NAmes       
  260        97000          12702        Pave         5            5           TA         1956         OldTown     
  1039       97000          1533         Pave         4            6           TA         1970         MeadowV     
  659        97500          17503        Pave         6            5           TA         1948         NAmes       
  211        98000          5604         Pave         5            6           TA         1925         Edwards     
  457        98000          4571         Pave         5            5           TA         1916         OldTown     
  750        98000          8405         Pave         4            3           TA         1945         Edwards     
  647        98300          7200         Pave         5            5           TA         1950         NAmes       
  973        99500          7892         Pave         6            5           TA         1979         SawyerW     
  1258       99900          4060         Pave         5            8           TA         1922         Edwards     
  107        100000         10800        Pave         4            7           TA         1885         OldTown     
  122        100000         6060         Pave         4            5           TA         1939         IDOTRR      
  180        100000         8520         Pave         5            6           TA         1923         OldTown     
  394        100000         7446         Pave         4            5           TA         1941         BrkSide     
  762        100000         6911         Pave         5            5           Fa         1924         BrkSide     
  838        100000         1680         Pave         6            5           TA         1973         BrDale      
  885        100000         7150         Pave         5            5           TA         1967         NAmes       
  1012       100000         9825         Pave         5            5           TA         1965         Edwards     
  1333       100000         8877         Pave         4            6           TA         1938         Edwards     
  1233       101800         9842         Pave         4            5           TA         1962         NAmes       
  772        102000         8877         Pave         4            5           TA         1951         Edwards     
  1010       102000         6000         Pave         5            5           TA         1926         SWISU       
  1136       102000         6180         Pave         6            5           TA         1926         BrkSide     
  712        102776         8712         Pave         4            7           TA         1900         IDOTRR      
  730        103000         6240         Pave         4            5           TA         1925         IDOTRR      
  164        103200         5500         Pave         4            6           TA         1956         OldTown     
  672        103600         6629         Pave         6            6           TA         1925         Edwards     
  199        104000         5520         Pave         6            6           TA         1912         OldTown     
  1186       104900         9738         Pave         5            7           TA         1924         Edwards     
  1363       104900         12513        Pave         4            4           TA         1920         NAmes       
  147        105000         6120         Pave         5            7           TA         1931         BrkSide     
  1029       105000         9492         Pave         5            5           TA         1941         NAmes       
  1371       105000         5400         Pave         4            6           TA         1920         OldTown     
  1385       105000         9060         Pave         6            5           TA         1939         Edwards     
  1405       105000         10410        Pave         3            4           TA         1915         OldTown     
  618        105500         7227         Pave         6            6           Gd         1954         NAmes       
  354        105900         8520         Pave         6            8           TA         1928         OldTown     
  228        106000         1869         Pave         6            6           TA         1970         BrDale      
  810        106000         8100         Pave         5            5           TA         1898         OldTown     
  1105       106000         2016         Pave         5            5           TA         1970         BrDale      
  521        106250         10800        Pave         4            7           TA         1900         OldTown     
  393        106500         8339         Pave         5            7           TA         1959         NAmes       
  897        106500         8765         Pave         4            6           TA         1936         IDOTRR      
  218        107000         9906         Pave         4            4           TA         1925         OldTown     
  773        107000         7819         Pave         6            5           TA         1976         Edwards     
  1207       107000         8900         Pave         4            4           TA         1966         SawyerW     
  533        107500         7200         Pave         5            7           TA         1955         NAmes       
  536        107500         7000         Pave         5            7           TA         1910         Edwards     
  1293       107500         6600         Pave         5            4           TA         1892         OldTown     
  789        107900         6000         Pave         4            7           TA         1954         OldTown     
  403        108000         10200        Pave         5            8           TA         1940         Sawyer      
  554        108000         8777         Pave         4            5           Gd         1949         Edwards     
  558        108000         11040        Pave         4            6           TA         1920         IDOTRR      
  563        108000         13907        Pave         5            6           TA         1940         Edwards     
  652        108000         9084         Pave         4            5           TA         1940         Edwards     
  735        108000         8978         Pave         5            5           TA         1968         Sawyer      
  694        108480         5400         Pave         5            6           TA         1921         OldTown     
  1346       108500         6000         Pave         4            4           Fa         1920         OldTown     
  1164       108959         12900        Pave         4            4           TA         1969         Sawyer      
  395        109000         10134        Pave         5            6           TA         1940         OldTown     
  428        109008         8593         Pave         4            6           TA         1957         NAmes       
  157        109500         7200         Pave         5            7           TA         1950         NAmes       
  678        109500         9022         Pave         5            8           Gd         1924         OldTown     
  827        109500         6130         Pave         5            6           Gd         1924         BrkSide     
  871        109500         6600         Pave         5            5           TA         1962         NAmes       
  710        109900         7162         Pave         5            7           TA         1966         Sawyer      
  802        109900         4800         Pave         4            7           TA         1916         IDOTRR      
  205        110000         3500         Pave         5            7           TA         1947         OldTown     
  440        110000         12354        Pave         6            8           Gd         1920         Edwards     
  451        110000         5684         Pave         6            8           Gd         1930         OldTown     
  460        110000         7015         Pave         5            4           Gd         1950         BrkSide     
  595        110000         7990         Pave         5            6           TA         1975         CollgCr     
  663        110000         13560        Pave         6            3           TA         1968         NAmes       
  729        110000         11475        Pave         5            5           TA         1958         NAmes       
  798        110000         7677         Pave         5            5           TA         1953         NAmes       
  901        110000         7340         Pave         4            6           TA         1971         NAmes       
  979        110000         9450         Pave         4            5           TA         1954         Edwards     
  1357       110000         9477         Pave         5            5           TA         1966         NAmes       
  242        110500         3880         Pave         5            9           Gd         1945         OldTown     
  1064       110500         6000         Pave         6            6           Gd         1925         OldTown     
  1320       111000         10215        Pave         4            5           TA         1954         Edwards     
  538        111250         12735        Pave         4            5           TA         1972         NAmes       
  203        112000         7000         Pave         6            6           TA         1924         OldTown     
  226        112000         1680         Pave         5            5           TA         1971         BrDale      
  1123       112000         8926         Pave         4            3           TA         1956         Edwards     
  1217       112000         8930         Pave         6            5           TA         1978         Sawyer      
  1384       112000         25339        Pave         5            7           Gd         1918         Sawyer      
  1408       112000         8780         Pave         5            5           TA         1985         Mitchel     
  1449       112000         11767        Pave         4            7           TA         1910         Edwards     
  552        112500         6000         Pave         5            6           TA         1957         OldTown     
  1026       112500         7700         Pave         5            5           TA         1972         CollgCr     
  240        113000         8741         Pave         6            4           TA         1945         Edwards     
  423        113000         21750        Pave         5            5           TA         1954         Mitchel     
  501        113000         1890         Pave         6            5           TA         1973         BrDale      
  556        113000         6380         Pave         5            6           TA         1922         BrkSide     
  1213       113000         9340         Pave         4            6           TA         1941         Edwards     
  774        114500         10150        Pave         5            5           TA         1958         NAmes       
  597        114504         3600         Pave         6            7           TA         1910         OldTown     
  108        115000         6000         Pave         5            5           TA         1948         OldTown     
  109        115000         8500         Pave         5            7           Fa         1919         IDOTRR      
  141        115000         10500        Pave         4            5           TA         1971         NAmes       
  150        115000         6240         Pave         5            4           TA         1936         BrkSide     
  407        115000         10480        Pave         6            5           TA         1936         SWISU       
  414        115000         8960         Pave         5            6           TA         1927         OldTown     
  491        115000         2665         Pave         5            6           TA         1976         MeadowV     
  1049       115000         21750        Pave         5            4           TA         1960         Mitchel     
  1126       115000         10434        Pave         4            5           Fa         1955         NAmes       
  1178       115000         3950         Pave         6            8           TA         1926         OldTown     
  1221       115000         7800         Pave         5            5           TA         1964         NAmes       
  1295       115000         8172         Pave         5            7           TA         1955         Edwards     
  437        116000         4400         Pave         6            8           TA         1920         OldTown     
  815        116000         8248         Pave         5            7           Fa         1918         Edwards     
  873        116000         8892         Pave         5            7           Gd         1953         NAmes       
  1201       116050         9353         Pave         4            5           TA         1970         NAmes       
  961        116500         7207         Pave         5            7           TA         1958         BrkSide     
  1149       116900         5700         Pave         7            7           TA         1926         OldTown     
  987        117000         5310         Pave         6            8           Gd         1910         OldTown     
  1115       117000         5400         Pave         5            7           Gd         1954         OldTown     
  1203       117000         6000         Pave         5            8           TA         1925         BrkSide     
  1378       117000         10998        Pave         5            5           TA         1941         Edwards     
  932        117500         9100         Pave         5            6           TA         1965         NAmes       
  1133       117500         9900         Pave         6            4           Fa         1880         OldTown     
  364        118000         1680         Pave         6            8           Gd         1972         BrDale      
  442        118000         12108        Pave         4            4           Fa         1955         Edwards     
  805        118000         9000         Pave         5            5           TA         1954         NAmes       
  1030       118000         1680         Pave         6            7           TA         1972         BrDale      
  1124       118000         9405         Pave         5            9           TA         1947         Edwards     
  1121       118400         8263         Pave         6            5           TA         1920         IDOTRR      
  576        118500         8480         Pave         5            5           TA         1947         NAmes       
  583        118500         11841        Grvl         6            5           TA         1990         Edwards     
  610        118500         7943         Pave         4            5           TA         1961         Sawyer      
  884        118500         6204         Pave         4            5           TA         1912         SWISU       
  895        118858         7018         Pave         5            5           TA         1979         SawyerW     
  103        118964         7018         Pave         5            5           TA         1979         SawyerW     
  331        119000         10624        Pave         5            4           TA         1964         NAmes       
  391        119000         8405         Pave         5            8           TA         1900         Edwards     
  438        119000         6000         Pave         6            7           TA         1926         BrkSide     
  1137       119000         9600         Pave         6            5           TA         1950         NAmes       
  1250       119000         7200         Pave         5            7           TA         1950         NAmes       
  1315       119000         8190         Pave         4            6           TA         1954         Edwards     
  1429       119000         7200         Pave         5            7           Gd         1940         OldTown     
  1015       119200         11664        Pave         6            5           TA         1948         NAmes       
  449        119500         8600         Pave         6            6           TA         1937         IDOTRR      
  1102       119500         9758         Pave         5            5           TA         1971         NAmes       
  1177       119500         6951         Pave         5            5           TA         1984         Mitchel     
  1292       119500         1680         Pave         5            7           TA         1972         BrDale      
  1035       119750         6305         Pave         5            7           Fa         1938         Crawfor     
  313        119900         7800         Pave         5            7           TA         1939         OldTown     
  952        119900         7800         Pave         5            5           TA         1965         SawyerW     
  183        120000         9060         Pave         5            6           TA         1957         Edwards     
  244        120000         10762        Pave         6            6           TA         1980         SawyerW     
  450        120000         6000         Pave         3            7           TA         1948         OldTown     
  500        120000         7535         Pave         5            7           TA         1958         NAmes       
  572        120000         7332         Pave         6            6           Gd         1959         NAmes       
  1184       120000         10800        Pave         5            6           TA         1920         OldTown     
  1401       120000         6000         Pave         6            7           TA         1929         BrkSide     
  269        120500         6900         Pave         5            6           TA         1940         IDOTRR      
  726        120500         6960         Pave         4            6           Gd         1970         NAmes       
  1154       120500         5890         Pave         6            8           TA         1930         IDOTRR      
  1437       120500         9000         Pave         4            6           TA         1971         NAmes       
  1444       121000         8854         Pave         6            6           Fa         1916         BrkSide     
  561        121500         11341        Pave         5            6           TA         1957         Sawyer      
  996        121600         4712         Pave         4            7           TA         1946         BrkSide     
  151        122000         10356        Pave         5            6           TA         1975         CollgCr     
  289        122000         9819         Pave         5            5           TA         1967         Sawyer      
  1267       122000         10120        Pave         7            4           TA         1910         OldTown     
  1350       122000         5250         Pave         8            5           TA         1872         OldTown     
  433        122500         1920         Pave         5            5           TA         1971         BrDale      
  1417       122500         11340        Pave         4            6           TA         1885         OldTown     
  891        122900         8064         Pave         5            7           TA         1949         NAmes       
  374        123000         10634        Pave         5            6           TA         1953         NAmes       
  397        123000         7200         Pave         5            5           TA         1972         CollgCr     
  1341       123000         8294         Pave         4            5           TA         1971         NAmes       
  1393       123000         7838         Pave         5            5           TA         1967         NAmes       
  698        123500         6420         Pave         5            7           TA         1952         Edwards     
  465        124000         8430         Pave         5            5           TA         1978         CollgCr     
  631        124000         9000         Pave         5            6           Ex         1880         OldTown     
  957        124000         1300         Pave         6            6           TA         1980         Blueste     
  1151       124000         8280         Pave         6            5           Gd         1950         NAmes       
  1392       124000         8944         Pave         5            5           TA         1967         NAmes       
  1419       124000         9204         Pave         5            5           TA         1963         NAmes       
  275        124500         8314         Pave         5            7           TA         1982         Mitchel     
  506        124500         7596         Pave         5            5           TA         1952         OldTown     
  510        124500         9600         Pave         5            6           TA         1959         NAmes       
  723        124500         8120         Pave         4            7           TA         1970         NAmes       
  946        124900         8820         Pave         5            6           TA         1890         OldTown     
  145        125000         9100         Pave         5            5           TA         1963         Sawyer      
  155        125000         11340        Pave         6            5           TA         1923         OldTown     
  229        125000         8521         Pave         5            5           TA         1967         Sawyer      
  373        125000         7175         Pave         6            5           TA         1984         SawyerW     
  388        125000         7200         Pave         6            6           TA         1976         Edwards     
  549        125000         8235         Pave         5            7           TA         1955         OldTown     
  986        125000         10880        Pave         5            5           TA         1950         Edwards     
  1193       125000         9600         Pave         5            8           Gd         1925         OldTown     
  1216       125000         7094         Pave         5            5           TA         1966         Sawyer      
  1335       125000         2368         Pave         5            6           TA         1970         BrDale      
  905        125500         6173         Pave         5            6           TA         1967         Sawyer      
  1334       125500         7200         Pave         5            6           Gd         1938         IDOTRR      
  1386       125500         5436         Pave         4            8           Gd         1922         IDOTRR      
  1409       125500         7740         Pave         4            7           TA         1910         OldTown     
  419        126000         8160         Pave         5            6           TA         1940         Edwards     
  985        126000         10125        Pave         5            5           Gd         1977         Mitchel     
  1080       126000         8775         Pave         5            5           TA         1994         CollgCr     
  324        126175         5820         Pave         3            8           TA         1955         OldTown     
  185        127000         7438         Pave         5            8           TA         1908         BrkSide     
  195        127000         7180         Pave         5            7           TA         1972         CollgCr     
  381        127000         5000         Pave         5            6           Gd         1924         SWISU       
  856        127000         6897         Pave         5            8           TA         1962         Sawyer      
  1097       127000         6882         Pave         6            7           Gd         1914         IDOTRR      
  1230       127000         7910         Pave         5            5           TA         1960         NAmes       
  1368       127000         2665         Pave         5            6           TA         1977         MeadowV     
  166        127500         10106        Pave         5            7           TA         1940         Edwards     
  446        127500         9855         Pave         6            5           TA         1956         Edwards     
  761        127500         9100         Pave         6            6           TA         1959         NAmes       
  955        127500         9400         Pave         6            5           TA         1975         Edwards     
  1256       127500         6240         Pave         6            6           TA         1931         BrkSide     
  1422       127500         4043         Pave         6            5           TA         1977         NPkVill     
  127        128000         4928         Pave         6            5           TA         1976         NPkVill     
  532        128000         6155         Pave         6            8           TA         1920         BrkSide     
  566        128000         6858         Pave         6            4           Fa         1915         SWISU       
  785        128000         6300         Pave         6            6           TA         1914         OldTown     
  836        128000         9600         Pave         4            7           Gd         1950         Sawyer      
  906        128000         9920         Pave         5            5           TA         1954         NAmes       
  1099       128000         6000         Pave         4            6           TA         1936         BrkSide     
  234        128200         10650        Pave         5            6           TA         1976         CollgCr     
  171        128500         12358        Pave         5            6           TA         1941         OldTown     
  680        128500         9945         Pave         5            5           TA         1961         Sawyer      
  720        128500         9920         Pave         5            6           TA         1969         CollgCr     
  1340       128500         9560         Pave         5            7           TA         1972         CollgCr     
  1262       128900         9600         Pave         5            6           TA         1956         NAmes       
  396        129000         9571         Pave         5            6           TA         1956         Edwards     
  667        129000         18450        Pave         6            5           TA         1965         NAmes       
  714        129000         9873         Pave         4            5           TA         1970         BrkSide     
  868        129000         6970         Pave         4            5           Fa         1961         Sawyer      
  951        129000         7200         Pave         5            8           Gd         1950         NAmes       
  1095       129000         5868         Pave         5            7           TA         1956         NAmes       
  1163       129000         8724         Pave         5            5           TA         1968         Sawyer      
  1446       129000         8400         Pave         6            5           TA         1966         Sawyer      
  548        129500         7244         Pave         5            7           TA         1970         Mitchel     
  1249       129500         9600         Pave         6            5           TA         1917         OldTown     
  513        129900         9100         Pave         5            5           TA         1958         NAmes       
  1113       129900         7100         Pave         5            7           TA         1957         NAmes       
  146        130000         2522         Pave         6            5           Gd         2004         Edwards     
  194        130000         2522         Pave         7            5           Gd         2004         Edwards     
  264        130000         5500         Pave         5            7           TA         1929         OldTown     
  359        130000         6930         Pave         5            4           Gd         1958         ClearCr     
  499        130000         7800         Pave         5            7           Gd         1967         Sawyer      
  587        130000         10267        Pave         6            7           Fa         1918         BrkSide     
  1118       130000         9764         Pave         5            7           Gd         1967         Sawyer      
  1235       130000         8525         Pave         5            6           TA         1911         SWISU       
  1253       130000         9858         Pave         5            6           TA         1968         Mitchel     
  1305       130000         3363         Pave         7            5           Gd         2004         Edwards     
  715        130500         13517        Pave         6            8           Gd         1976         Sawyer      
  840        130500         11767        Pave         5            6           TA         1946         Edwards     
  1328       130500         6600         Pave         5            9           Gd         1982         Mitchel     
  293        131000         11409        Pave         5            4           TA         1949         Edwards     
  909        131000         8885         Pave         5            5           TA         1983         Mitchel     
  1390       131000         6000         Pave         6            6           TA         1941         BrkSide     
  734        131400         10000        Pave         5            6           TA         1961         Sawyer      
  580        131500         12150        Pave         5            5           TA         1954         OldTown     
  851        131500         4435         Pave         6            5           Gd         2003         CollgCr     
  862        131500         11625        Pave         5            4           TA         1965         Sawyer      
  312        132000         8000         Pave         6            6           TA         1948         NAmes       
  369        132000         7800         Pave         5            6           TA         1954         NAmes       
  527        132000         13300        Pave         5            7           TA         1956         NAmes       
  741        132000         9600         Pave         5            7           TA         1910         OldTown     
  958        132000         7420         Pave         5            5           TA         1962         Sawyer      
  877        132250         25286        Pave         4            5           TA         1963         Mitchel     
  476        132500         8480         Pave         5            6           TA         1963         Sawyer      
  485        132500         7758         Pave         5            7           Gd         1962         Sawyer      
  864        132500         7931         Pave         5            5           TA         1959         NAmes       
  1232       132500         7728         Pave         5            6           TA         1962         NAmes       
  1286       132500         6000         Pave         6            6           TA         1939         BrkSide     
  1332       132500         10780        Pave         5            5           TA         1976         CollgCr     
  492        133000         9490         Pave         6            7           Fa         1941         NAmes       
  544        133000         4058         Pave         7            5           TA         1998         NAmes       
  585        133000         6120         Pave         4            7           Gd         1935         BrkSide     
  874        133000         12144        Pave         5            7           TA         1949         NAmes       
  1082       133000         7500         Pave         5            5           TA         1963         Sawyer      
  1407       133000         8445         Pave         5            7           TA         1972         CollgCr     
  848        133500         15523        Pave         5            6           TA         1972         CollgCr     
  1120       133700         7560         Pave         5            5           TA         1959         NAmes       
  953        133900         7200         Pave         5            8           TA         1972         CollgCr     
  358        134000         4224         Pave         5            5           TA         1976         MeadowV     
  514        134000         9187         Pave         6            5           TA         1983         Mitchel     
  1222       134000         8250         Pave         5            5           TA         1968         Sawyer      
  372        134432         17120        Pave         4            4           TA         1959         ClearCr     
  216        134450         10011        Pave         5            6           Gd         1957         NAmes       
  1114       134500         8923         Pave         5            7           Gd         1953         NAmes       
  1215       134500         10205        Pave         5            5           TA         1962         NAmes       
  771        134900         7252         Pave         5            5           TA         1982         Sawyer      
  1353       134900         6000         Pave         6            9           TA         1937         BrkSide     
  188        135000         10410        Pave         5            7           TA         1916         OldTown     
  426        135000         3378         Pave         7            8           TA         1946         OldTown     
  623        135000         7064         Pave         5            6           TA         1977         Sawyer      
  629        135000         11606        Pave         5            5           Fa         1969         NAmes       
  654        135000         10320        Pave         6            7           TA         1906         IDOTRR      
  724        135000         8172         Pave         4            6           TA         1954         Edwards     
  780        135000         10530        Pave         6            5           TA         1977         Mitchel     
  900        135000         6993         Pave         5            7           TA         1961         Sawyer      
  918        135000         17140        Pave         4            6           TA         1956         Edwards     
  968        135000         7390         Pave         5            7           TA         1955         NAmes       
  971        135000         10800        Pave         4            4           TA         1949         NAmes       
  1011       135000         21286        Pave         5            5           TA         1948         Sawyer      
  1070       135000         9600         Pave         5            7           Gd         1949         NAmes       
  1071       135000         10152        Pave         5            5           TA         1956         NAmes       
  1103       135000         7000         Pave         5            7           TA         1960         NAmes       
  1131       135000         7804         Pave         4            3           Gd         1928         SWISU       
  1337       135000         9246         Pave         5            5           TA         1973         NWAmes      
  807        135500         9750         Pave         5            5           TA         1967         NAmes       
  888        135500         16466        Pave         5            7           TA         1955         Edwards     
  292        135900         5687         Pave         5            6           Fa         1912         SWISU       
  570        135960         7032         Pave         5            5           TA         1979         NAmes       
  123        136000         9464         Pave         6            7           TA         1958         NAmes       
  1388       136000         8520         Pave         6            7           Gd         1916         OldTown     
  1451       136000         9000         Pave         5            5           TA         1974         NAmes       
  880        136500         7000         Pave         5            8           TA         1978         CollgCr     
  997        136500         10659        Pave         5            6           TA         1961         NAmes       
  1093       136500         8400         Pave         6            5           TA         1925         SWISU       
  1423       136500         4435         Pave         6            5           Gd         2003         CollgCr     
  111        136900         9525         Pave         6            4           TA         1954         Edwards     
  1004       136905         11500        Pave         5            6           TA         1976         NWAmes      
  247        137000         9142         Pave         6            8           Fa         1910         OldTown     
  588        137000         8740         Pave         5            6           TA         1982         Sawyer      
  817        137000         11425        Pave         5            6           TA         1954         NAmes       
  1273       137000         13526        Pave         5            6           TA         1965         Sawyer      
  1276       137000         11345        Pave         5            5           TA         1948         NAmes       
  1400       137450         6171         Pave         6            6           Gd         1925         SWISU       
  616        137500         8800         Pave         6            7           Gd         1963         NAmes       
  664        137500         10012        Pave         4            5           TA         1972         Edwards     
  670        137500         11600        Pave         4            5           Fa         1922         Crawfor     
  945        137500         14375        Pave         6            6           Gd         1958         Timber      
  1089       137500         2522         Pave         7            5           Gd         2004         Edwards     
  1398       137500         6120         Pave         5            8           TA         1920         BrkSide     
  1224       137900         10680        Pave         5            3           TA         1951         NAmes       
  593        138000         6600         Pave         5            8           TA         1982         Mitchel     
  1308       138000         8072         Pave         5            5           TA         1994         CollgCr     
  1399       138000         7200         Pave         5            4           TA         1950         NAmes       
  699        138500         8450         Pave         5            8           TA         1965         Sawyer      
  1296       138500         8400         Pave         5            5           TA         1968         NAmes       
  1078       138800         15870        Pave         5            5           TA         1969         NAmes       
  1236       138887         13132        Pave         5            5           TA         1914         Crawfor     
  117        139000         11616        Pave         5            5           TA         1962         Sawyer      
  274        139000         9600         Pave         6            6           TA         1958         NAmes       
  332        139000         8176         Pave         5            6           TA         1958         NAmes       
  425        139000         9000         Pave         6            5           TA         1956         NAmes       
  575        139000         10500        Pave         5            7           TA         1971         NAmes       
  787        139000         10800        Pave         5            6           TA         1915         OldTown     
  980        139000         8816         Pave         5            6           TA         1963         Sawyer      
  1141       139000         7350         Pave         5            7           TA         1951         NAmes       
  1275       139000         5362         Pave         5            6           TA         1910         Crawfor     
  1284       139000         9400         Pave         6            5           TA         1971         Mitchel     
  634        139400         9250         Pave         5            7           TA         1954         NAmes       
  824        139500         9900         Pave         6            7           TA         1940         SWISU       
  1046       139600         13680        Pave         3            5           TA         1955         Edwards     
  627        139900         12342        Pave         5            5           TA         1960         NAmes       
  835        139950         7875         Pave         5            6           TA         1961         NAmes       
  201        140000         8546         Pave         4            5           TA         2003         Edwards     
  248        140000         11310        Pave         6            5           TA         1954         NAmes       
  355        140000         8400         Pave         6            5           TA         1940         SWISU       
  503        140000         9170         Pave         5            7           TA         1965         Edwards     
  551        140000         4043         Pave         6            6           TA         1977         NPkVill     
  594        140000         4435         Pave         6            5           Gd         2003         CollgCr     
  675        140000         9200         Pave         6            6           TA         1965         NAmes       
  702        140000         9600         Pave         7            5           TA         1969         NWAmes      
  704        140000         7630         Pave         5            9           Gd         1900         OldTown     
